SWITCH,MAC,INTERFACE,VLAN,IP,VENDOR,CDP_PLATFORM,CDP_HOSTNAME,STATIC IP or DHCP,Cisco Comments,Customer Comments,Fabric IP (Old/New/Remove)
site1_switch2,b8ca.3a63.6c64,GigabitEthernet1/0/11,302,,Dell Inc.,,, , ,, 
site1_switch2,2c0b.e992.db41,Port-channel1,101,10.105.24.1,"Cisco Systems, Inc",,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,301,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,303,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,304,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,305,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,306,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,307,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,308,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,309,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,310,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,311,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,312,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,313,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,314,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,315,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,316,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,317,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,318,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,319,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,320,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,321,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,322,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,323,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,324,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,325,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,326,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,327,,Palo Alto Networks,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,328,,Palo Alto Networks,,, , ,, 
